UID          PID    PPID  C STIME TTY          TIME CMD
root         503       1  0 20:57 ?        00:00:00 /lib/systemd/systemd-logind
root         504       1  0 20:57 ?        00:00:00 /usr/lib/udisks2/udisksd
root         505       1  0 20:57 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        507     480  0 20:57 ?        00:00:00 avahi-daemon: chroot helper
root         540       1  0 20:57 ?        00:00:00 /usr/sbin/cups-browsed
lp           541     482  0 20:57 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         551       1  0 20:57 ?        00:00:00 /usr/sbin/ModemManager
root         557       1  0 20:57 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         574       1  0 20:57 ?        00:00:00 /usr/sbin/gdm3
root         599     574  0 20:57 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
caroline     617       1  0 20:57 ?        00:00:00 /lib/systemd/systemd --user
caroline     619     617  0 20:57 ?        00:00:00 (sd-pam)
caroline     639     617  0 20:57 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
caroline     641     617  0 20:57 ?        00:00:00 /usr/libexec/tracker-miner-fs
caroline     653       1  0 20:57 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
rtkit        656       1  0 20:57 ?        00:00:00 /usr/libexec/rtkit-daemon
caroline     665     599  0 20:57 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
caroline     668     617  0 20:57 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
caroline     670     665  3 20:57 tty2     00:00:44 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
caroline     676     617  0 20:57 ?        00:00:00 /usr/libexec/gvfsd
caroline     681     617  0 20:57 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
caroline     689     617  0 20:57 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
caroline     710     617  0 20:57 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
caroline     714     617  0 20:57 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
caroline     720     617  0 20:57 ?        00:00:00 /usr/libexec/goa-daemon
whoopsie     725       1  0 20:57 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     730       1  0 20:57 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     732       1  0 20:57 ?        00:00:00 /usr/sbin/kerneloops
caroline     758     617  0 20:57 ?        00:00:00 /usr/libexec/goa-identity-service
caroline     763     617  0 20:57 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
caroline     769     617  0 20:57 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root         774       1  0 20:57 ?        00:00:00 /usr/lib/upower/upowerd
root         789       2  0 20:57 ?        00:00:00 [scsi_eh_0]
root         790       2  0 20:57 ?        00:00:00 [scsi_tmf_0]
root         791       2  0 20:57 ?        00:00:00 [usb-storage]
root         794       2  0 20:57 ?        00:00:00 [uas]
caroline     820     665  0 20:57 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
caroline     887     820  0 20:57 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
caroline     907     617  0 20:57 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
caroline     912     907  0 20:57 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
caroline     917     617  0 20:57 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
caroline     924     617  0 20:57 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
caroline     938     617  2 20:57 ?        00:00:33 /usr/bin/gnome-shell
caroline     977     617  0 20:57 ?        00:00:00 /usr/libexec/gvfsd-metadata
caroline     981     938  0 20:57 ?        00:00:00 ibus-daemon --panel disable --xim
caroline     985     981  0 20:57 ?        00:00:00 /usr/libexec/ibus-memconf
caroline     986     981  0 20:57 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
caroline     990     617  0 20:57 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
caroline     993     617  0 20:57 ?        00:00:00 /usr/libexec/ibus-portal
caroline    1002     617  0 20:57 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
caroline    1006     617  0 20:57 ?        00:00:00 /usr/libexec/xdg-permission-store
caroline    1008     617  0 20:57 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
caroline    1019     617  0 20:57 ?        00:00:00 /usr/libexec/evolution-source-registry
geoclue     1024       1  0 20:57 ?        00:00:00 /usr/libexec/geoclue
caroline    1031     617  0 20:57 ?        00:00:00 /usr/libexec/evolution-calendar-factory
caroline    1045     617  0 20:57 ?        00:00:00 /usr/libexec/dconf-service
caroline    1047     617  0 20:57 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
caroline    1063     617  0 20:57 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
caroline    1076     676  0 20:57 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
caroline    1082     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-a11y-settings
caroline    1083     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-color
caroline    1085     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-datetime
caroline    1087     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-housekeeping
caroline    1090     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-keyboard
caroline    1091     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-media-keys
caroline    1092     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-power
caroline    1093     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-print-notifications
caroline    1096     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-rfkill
caroline    1098     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
caroline    1099     617  0 20:57 ?        00:00:00 /usr/bin/spice-vdagent
root        1106       1  0 20:57 ?        00:00:02 /usr/sbin/spice-vdagentd
caroline    1109     924  0 20:57 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
caroline    1118     981  0 20:57 ?        00:00:00 /usr/libexec/ibus-engine-simple
caroline    1119     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-sharing
caroline    1120     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-smartcard
caroline    1126     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-sound
caroline    1127     924  0 20:57 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
caroline    1132     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-usb-protection
caroline    1140     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-wacom
caroline    1141     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-wwan
caroline    1150     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-xsettings
caroline    1192     617  0 20:57 ?        00:00:00 /usr/libexec/gsd-printer
colord      1213       1  0 20:57 ?        00:00:00 /usr/libexec/colord
root        1288       1  0 20:58 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyAMA0 vt220
caroline    1795     924  0 20:58 ?        00:00:00 update-notifier
caroline    1835     617  0 20:59 ?        00:00:00 /usr/bin/seahorse --gapplication-service
caroline    1837     617  0 20:59 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
root        2071       2  0 21:03 ?        00:00:00 [kworker/0:0-events]
caroline    2076     617  0 21:04 ?        00:00:00 /usr/lib/bluetooth/obexd
root        2078       2  0 21:05 ?        00:00:00 [kworker/3:0-events]
root        2154       1  0 21:06 ?        00:00:00 /usr/libexec/fwupd/fwupd
root        2179       1  0 21:06 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        2282       2  0 21:09 ?        00:00:00 [kworker/u8:0-events_unbound]
caroline    3918     617  0 21:12 ?        00:00:03 /usr/libexec/gnome-terminal-server
caroline    3926    3918  0 21:12 pts/0    00:00:00 bash
caroline    3938     617  0 21:13 ?        00:00:00 ssh-agent -s
root        3962       2  0 21:14 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
root        3970       2  0 21:14 ?        00:00:00 [kworker/u8:1-events_unbound]
root        3971       2  0 21:14 ?        00:00:00 [kworker/1:1-events]
root        4613       1  0 21:17 ?        00:00:00 /usr/lib/packagekit/packagekitd
root        4682       2  0 21:20 ?        00:00:00 [kworker/u8:2]
root        4686       2  0 21:21 ?        00:00:00 [kworker/2:2-events]
caroline    4735    3926  0 21:21 pts/0    00:00:00 ps -ef
